Fechas,a,b,Total de contagiados
2020-06-01,302,407,280
2020-06-02,282,380,179
2020-06-03,317,470,265
2020-06-04,374,462,411
2020-06-05,474,633,397
2020-06-06,414,553,286
2020-06-07,292,340,318
2020-06-08,435,598,343
2020-06-09,436,726,364
2020-06-10,564,774,431
2020-06-11,410,792,218
2020-06-12,462,730,414
2020-06-13,404,529,96
2020-06-14,360,470,303
2020-06-15,725,1019,555
2020-06-16,545,948,718
2020-06-17,509,880,551
2020-06-18,482,765,814
2020-06-19,545,909,486
2020-06-20,681,780,256
2020-06-21,357,353,418
2020-06-22,787,1178,780
2020-06-23,719,1211,778
2020-06-24,648,1190,351
2020-06-25,673,1409,1037
2020-06-26,777,1368,671
2020-06-27,676,915,572
2020-06-28,513,402,466
2020-06-29,670,1015,734
2020-06-30,821,1733,984
2020-07-01,793,1408,1138
2020-07-02,694,1412,1299
2020-07-03,700,1331,1330
2020-07-04,581,905,790
2020-07-05,506,389,700
2020-07-06,729,1305,901
2020-07-07,654,1293,674
2020-07-08,611,1343,1236
2020-07-09,576,1171,1003
2020-07-10,794,1070,1008
2020-07-11,608,770,806
2020-07-12,471,490,408
2020-07-13,700,1227,1220
2020-07-14,604,1156,1261
2020-07-15,616,1125,939
2020-07-16,596,1173,1021
2020-07-17,591,1038,1191
2020-07-18,618,695,666
2020-07-19,484,384,340
2020-07-20,804,1264,1296
2020-07-21,531,1076,1131
2020-07-22,504,1127,1073
2020-07-23,486,1048,1019
2020-07-24,527,1072,1272
2020-07-25,440,618,638
2020-07-26,379,315,261
2020-07-27,542,1264,1209
2020-07-28,512,1131,1179
2020-07-29,409,912,1271
2020-07-30,479,877,1000
2020-07-31,474,885,1163
2020-08-01,649,588,358
2020-08-02,375,411,227
2020-08-03,486,1129,788
2020-08-04,383,886,1143
2020-08-05,403,966,824
2020-08-06,379,768,943
2020-08-07,380,719,903
2020-08-08,400,533,420
2020-08-09,317,301,389
2020-08-10,560,859,996
2020-08-11,372,804,1151
2020-08-12,366,746,1233
2020-08-13,340,752,1144
2020-08-14,423,686,903
2020-08-15,401,475,337
2020-08-16,351,392,310
2020-08-17,449,909,909
2020-08-18,357,773,1043
2020-08-19,325,729,1124
2020-08-20,484,798,1052
2020-08-21,384,730,943
2020-08-22,378,413,331
2020-08-23,325,309,342
2020-08-24,359,844,1152
2020-08-25,369,754,1082
2020-08-26,318,775,1141
2020-08-27,320,684,1065
2020-08-28,352,710,749
2020-08-29,264,377,227
2020-08-30,270,237,166
2020-08-31,351,729,813
2020-09-01,429,697,724
2020-09-02,328,633,681
2020-09-03,315,663,670
2020-09-04,372,511,441
2020-09-05,327,361,189
2020-09-06,312,220,146
2020-09-07,358,761,821
2020-09-08,307,742,893
2020-09-09,281,591,680
2020-09-10,368,709,694
2020-09-11,333,681,625
2020-09-12,299,430,253
2020-09-13,296,266,256
2020-09-14,376,743,455
2020-09-15,340,366,243
2020-09-16,317,708,731
2020-09-17,399,658,724
2020-09-18,405,746,742
2020-09-19,366,529,289
2020-09-20,419,332,222
2020-09-21,455,802,896
2020-09-22,335,790,752
2020-09-23,293,763,449
2020-09-24,298,752,872
2020-09-25,359,650,796
2020-09-26,303,354,395
2020-09-27,315,249,162
2020-09-28,338,756,697
2020-09-29,300,696,790
2020-09-30,301,607,684
2020-10-01,435,641,660
2020-10-02,343,623,618
