N,fecha,Casos por fecha de inicio de síntomas,Casos por fecha de toma de muestra,Casos por fecha de emisión de resultados
1,2020-06-24,648,1190,351
2,2020-06-25,673,1409,1037
3,2020-06-26,777,1368,671
4,2020-06-27,676,915,572
5,2020-06-28,513,402,466
6,2020-06-29,670,1015,734
7,2020-06-30,821,1733,984
8,2020-07-01,793,1408,1138
9,2020-07-02,694,1412,1299
10,2020-07-03,700,1331,1330
11,2020-07-04,581,905,790
12,2020-07-05,506,389,700
13,2020-07-06,729,1305,901
14,2020-07-07,654,1298,674
15,2020-07-08,611,1345,1236
16,2020-07-09,576,1173,1003
17,2020-07-10,794,1071,1008
18,2020-07-11,608,772,806
19,2020-07-12,471,491,408
20,2020-07-13,700,1227,1220
21,2020-07-14,604,1158,1261
22,2020-07-15,616,1128,939
23,2020-07-16,596,1178,1021
24,2020-07-17,591,1039,1191
25,2020-07-18,618,697,666
26,2020-07-19,484,384,340
27,2020-07-20,804,1268,1296
28,2020-07-21,531,1076,1131
29,2020-07-22,504,1127,1073
30,2020-07-23,486,1048,1019
31,2020-07-24,527,1072,1272
32,2020-07-25,440,618,638
33,2020-07-26,379,315,261
34,2020-07-27,542,1264,1209
35,2020-07-28,512,1131,1179
36,2020-07-29,409,912,1271
37,2020-07-30,479,877,1000
38,2020-07-31,474,885,1163
39,2020-08-01,649,588,358
40,2020-08-02,375,411,227
41,2020-08-03,486,1129,788
42,2020-08-04,383,886,1143
43,2020-08-05,403,966,824
44,2020-08-06,379,768,943
45,2020-08-07,380,719,903
46,2020-08-08,400,533,420
47,2020-08-09,317,301,389
48,2020-08-10,560,859,996
49,2020-08-11,372,804,1151
50,2020-08-12,366,746,1233
51,2020-08-13,340,752,1144
52,2020-08-14,423,686,903
53,2020-08-15,401,475,337
54,2020-08-16,351,392,310
55,2020-08-17,449,909,909
56,2020-08-18,357,773,1043
57,2020-08-19,325,729,1124
58,2020-08-20,484,798,1052
59,2020-08-21,384,730,943
60,2020-08-22,378,413,331
61,2020-08-23,325,309,342
62,2020-08-24,359,844,1152
63,2020-08-25,369,754,1082
64,2020-08-26,318,775,1141
65,2020-08-27,320,684,1065
66,2020-08-28,352,710,749
67,2020-08-29,264,377,227
68,2020-08-30,270,237,166
69,2020-08-31,351,729,813
70,2020-09-01,429,697,724
71,2020-09-02,328,633,681
72,2020-09-03,315,663,670
73,2020-09-04,372,511,441
74,2020-09-05,327,361,189
75,2020-09-06,312,220,146
